"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestDbToDbModel_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestDbToDbModel_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestTagConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestTagConverter.TestCoreToDbModelNull_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestTagConverter.TestCoreToDbModelNull_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","6","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.GetUserPlaylists_ReturnsFound(playlists: [PlaylistDbModel { Audiotracks = [...], Id = 00000000-0000-0000-0000-000000000001, PlaylistsAudiotracks = [...], Title = ""Title"", User = null, ... }], expectedPlaylists: [Playlist { Id = 00000000-0000-0000-0000-000000000001, Title = ""Title"", UserId = 00000000-0000-0000-0000-000000000001 }])","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.GetUserPlaylists_ReturnsFound(List<PlaylistDbModel> playlists, List<Playlist> expectedPlaylists)",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","4","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestCommentaryRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestCommentaryRepository.UpdateCommentary_UpdateExisting_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestCommentaryRepository.UpdateCommentary_UpdateExisting_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","5","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository.GetAllTags_ReturnsFound(tagDbos: [TagDbModel { Audiotracks = [...], Author = null, AuthorId = 00000000-0000-0000-0000-000000000001, Id = 00000000-0000-0000-0000-000000000001, Name = ""name"", ... }], expectedTags: [Tag { AuthorId = 00000000-0000-0000-0000-000000000001, Id = 00000000-0000-0000-0000-000000000001, Name = ""name"" }])","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository.GetAllTags_ReturnsFound(List<TagDbModel> tagDbos, List<Tag> expectedTags)",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","3","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository.RemoveTagFromAudiotrack_AudiotrackAndTagExist_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository.RemoveTagFromAudiotrack_AudiotrackAndTagExist_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestCoreToDbModel_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestCoreToDbModel_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","3","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.CommentaryServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.CommentaryServiceUnitTest.UpdateCommentary_CommentaryNonexistent_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.CommentaryServiceUnitTest.UpdateCommentary_CommentaryNonexistent_Error",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","4","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest.GetAudiotrackById_NoAudiotrackWithId_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest.GetAudiotrackById_NoAudiotrackWithId_Error",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserRepository.GetUserById_ReturnsFound(returnedUserDbo: UserDbModel { Email = null, Id = 00000000-0000-0000-0000-000000000000, PasswordHashed = null, Playlists = [], Role = Guest, ... }, expectedUser: User { Email = null, Id = 00000000-0000-0000-0000-000000000000, PasswordHashed = null, Role = Guest, Username = null })","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserRepository.GetUserById_ReturnsFound(UserDbModel returnedUserDbo, User expectedUser)",""
